Twitter ID,Removal observed,Reversal observed,Reason
1658434720022274049,1784275364,,Unverified
1662996856190930949,1784275364,,Unverified
1671566169818406912,1784275427,,Unverified
1700156077642293248,1784275427,,Unverified
1724699609858236416,1784275427,,Unverified
1729088453835358208,1784275427,,Unverified
1734454244411928576,1784275427,,Unverified
1744779110839136257,1784275427,,Unverified
1755142980233531392,1784297539,,Deactivated
1755622516532645888,1784275427,,Unverified
1759816594115510272,1784275489,,Unverified
1761697954409447424,1784275489,,Unverified
1776902005854015488,1784275489,,Unverified
1786040627270180864,1784275489,,Unverified
1807574125822795777,1784275489,,Unverified
1833443531697901568,1784275552,,Unverified
1846701110893166592,1784275552,,Unverified
1881454601041244161,1784275552,,Unverified
1881479405458935808,1784275552,,Unverified
1883283813276770304,1784275552,,Unverified
1884155451975294977,1784275552,,Unverified
1903004049554767872,1784275613,,Unverified
1904151906802372608,1784275613,,Unverified
1909909942662049792,1784275613,,Unverified
1930699543538262016,1784275613,,Unverified
1945967516796518400,1784275613,,Unverified
1946261368958484480,1784275613,,Unverified
1950445414424965120,1784275613,,Unverified
1974799902333874176,1784275676,,Unverified
2000562962583658496,1784297539,,Suspended
2000754998783942656,1784275676,,Unverified
